wf_run_id,donchian_n_15m,body_atr_15m,trend_sep_atr_1h,use_5m_confirm,score,p20_expectancy_R,p20_profit_factor,p20_winrate,median_trades,penalty_low_trades,windows_count
d673ad28e9ab,25,0.3,0.5,0,0.45507579064547987,0.17486000000000002,1.13114,0.5398779064547985,220.0,0.0,9
d673ad28e9ab,30,0.3,0.5,0,0.4404156387857052,0.16874,1.08708,0.5425963878570513,203.0,0.0,9
d673ad28e9ab,25,0.25,0.5,0,0.4394646668991978,0.16252,1.1154,0.5386466689919777,223.0,0.0,9
d673ad28e9ab,25,0.2,0.5,0,0.4320795140700069,0.15783999999999998,1.10198,0.5384351407000686,231.0,0.0,9
d673ad28e9ab,25,0.15,0.5,0,0.426874372881356,0.15152000000000002,1.1068600000000002,0.5398237288135593,236.0,0.0,9
d673ad28e9ab,30,0.25,0.5,0,0.42627376289302576,0.15666,1.07854,0.5390576289302573,206.0,0.0,9
d673ad28e9ab,30,0.3,1.1,0,0.4225227533159712,0.15824,1.0557,0.5314275331597117,198.0,0.0,9
d673ad28e9ab,20,0.3,0.5,0,0.4223975752895753,0.13726,1.16174,0.5278957528957529,236.0,0.0,9
d673ad28e9ab,30,0.3,0.8,0,0.42117456790123464,0.15642,1.0576,0.5323456790123458,201.0,0.0,9
d673ad28e9ab,20,0.25,0.5,0,0.41970869341894057,0.13522,1.15886,0.5271669341894061,240.0,0.0,9
d673ad28e9ab,20,0.2,0.5,0,0.41931569669855995,0.1361,1.1518,0.5285569669855991,247.0,0.0,9
d673ad28e9ab,30,0.2,0.5,0,0.4163596274584444,0.14966,1.06522,0.5365562745844437,213.0,0.0,9
d673ad28e9ab,30,0.25,0.8,0,0.41585000853387954,0.15284,1.0497999999999998,0.5305000853387951,203.0,0.0,9
d673ad28e9ab,20,0.15,0.5,0,0.4145735616866216,0.13034,1.15616,0.5300156168662155,255.0,0.0,9
d673ad28e9ab,30,0.2,0.8,0,0.4117243224400872,0.15072000000000002,1.0398800000000001,0.5302832244008715,208.0,0.0,9
d673ad28e9ab,30,0.15,0.5,0,0.41077608600036863,0.14534000000000002,1.06018,0.5340008600036857,219.0,0.0,9
d673ad28e9ab,25,0.3,0.8,0,0.40918005560845555,0.13742000000000001,1.09526,0.5270805560845553,218.0,0.0,9
d673ad28e9ab,30,0.25,1.1,0,0.40908984528832637,0.14652,1.0478,0.5300984528832631,200.0,0.0,9
d673ad28e9ab,30,0.15,0.8,0,0.4086504597931265,0.148,1.03762,0.5312645979312647,214.0,0.0,9
d673ad28e9ab,30,0.2,1.1,0,0.4078616432681243,0.14794,1.0346600000000001,0.5298964326812428,205.0,0.0,9
d673ad28e9ab,25,0.15,0.8,0,0.40670235007445515,0.137,1.0849,0.5272235007445512,232.0,0.0,9
d673ad28e9ab,25,0.25,0.8,0,0.40321800915522266,0.13298,1.08856,0.5252600915522264,221.0,0.0,9
d673ad28e9ab,25,0.15,1.1,0,0.40247713904338156,0.13376,1.08046,0.5262513904338153,227.0,0.0,9
d673ad28e9ab,25,0.3,1.1,0,0.40215254878943507,0.134,1.07774,0.5260454878943507,213.0,0.0,9
d673ad28e9ab,15,0.3,0.5,0,0.40145062675683124,0.11105999999999999,1.18766,0.5285862675683124,272.0,0.0,9
d673ad28e9ab,30,0.15,1.1,0,0.40074320476545056,0.14008,1.03794,0.5307520476545049,207.0,0.0,9
d673ad28e9ab,25,0.2,0.8,0,0.3998320196515489,0.13172,1.07808,0.5249601965154893,226.0,0.0,9
d673ad28e9ab,15,0.3,1.1,0,0.3984818752034726,0.12406,1.10906,0.526098752034726,262.0,0.0,9
d673ad28e9ab,25,0.25,1.1,0,0.39692919236249646,0.12962,1.07442,0.5242519236249644,216.0,0.0,9
d673ad28e9ab,25,0.2,1.1,0,0.3957289722455845,0.12847999999999998,1.07426,0.5239697224558453,220.0,0.0,9
d673ad28e9ab,15,0.3,0.8,0,0.39176487265347537,0.11462,1.12232,0.5268087265347539,270.0,0.0,9
d673ad28e9ab,20,0.15,0.8,0,0.38806410021786497,0.11696000000000001,1.09524,0.5205610021786492,250.0,0.0,9
d673ad28e9ab,15,0.25,0.5,0,0.3872438506488945,0.10194,1.16412,0.5247985064889442,277.0,0.0,9
d673ad28e9ab,15,0.25,1.1,0,0.3872062918500264,0.11318,1.1072199999999999,0.5258229185002641,266.0,0.0,9
d673ad28e9ab,15,0.2,1.1,0,0.38320165456545663,0.10768,1.11488,0.5254565456545655,272.0,0.0,9
d673ad28e9ab,20,0.2,0.8,0,0.3824118518518519,0.11192,1.0932,0.5185185185185186,242.0,0.0,9
d673ad28e9ab,15,0.25,0.8,0,0.3822062678062678,0.1056,1.12,0.526062678062678,274.0,0.0,9
d673ad28e9ab,15,0.2,0.5,0,0.38069401350048215,0.09778,1.15268,0.5237801350048217,285.0,0.0,9
d673ad28e9ab,20,0.15,1.1,0,0.37877536475666645,0.11018,1.08324,0.5194736475666644,245.0,0.0,9
d673ad28e9ab,15,0.15,1.1,0,0.37872862745098046,0.10384,1.1116000000000001,0.5256862745098039,280.0,0.0,9
d673ad28e9ab,15,0.2,0.8,0,0.37839893054766377,0.1011,1.12404,0.5249093054766379,280.0,0.0,9
d673ad28e9ab,20,0.3,0.8,0,0.3782608337317974,0.10990000000000001,1.08298,0.5176483373179743,234.0,0.0,9
d673ad28e9ab,15,0.15,0.8,0,0.378204760173076,0.10148000000000001,1.12084,0.5255676017307599,288.0,0.0,9
d673ad28e9ab,20,0.2,1.1,0,0.37574960061724066,0.1085,1.07754,0.5174160061724065,237.0,0.0,9
d673ad28e9ab,20,0.25,0.8,0,0.375382891434193,0.10792,1.07884,0.5169489143419297,237.0,0.0,9
d673ad28e9ab,20,0.3,1.1,0,0.37146647026125634,0.10640000000000002,1.0671000000000002,0.5164647026125625,229.0,0.0,9
d673ad28e9ab,15,0.15,0.5,0,0.369404997467797,0.08738000000000001,1.14922,0.5218099746779699,293.0,0.0,9
d673ad28e9ab,20,0.25,1.1,0,0.36835151482479783,0.10424,1.06266,0.5157951482479783,232.0,0.0,9
